Features,DecisionTree,RandomForest,AdaBoost,ExtraTree,GradientBoosting,XGBOOST
ascites,0.3301086087645221,0.1409230288956699,0.08,0.1815135038211276,0.27929201511477014,0.4822825491428375
spiders,0.11799165679853903,0.09881620929233653,0.04,0.11146020467693722,0.10130350010950072,0.15839070081710815
malaise,0.05718091009988902,0.10973751862132033,0.04,0.1343816965576905,0.1082412583170612,0.12959088385105133
spleen_palpable,0.0,0.06747018352558222,0.06,0.09172219205518829,0.05155071338128664,0.09027253836393356
sgot,0.19769615588590678,0.12125969477339034,0.28,0.12017278567878492,0.1323176303654433,0.03975958377122879
bilirubin,0.07796497455606555,0.18394751824077663,0.18,0.13411356249760878,0.1628070510141959,0.04292400926351547
protime,0.1146378361969636,0.13904843440860548,0.16,0.10929165560692272,0.06864213367869962,0.0245303213596344
age,0.10441985769811396,0.13879741224231856,0.16,0.11734439910574002,0.09584569801904252,0.03224935382604599
