,Model Name,Train Accuracy,Test Accuracy
0,DecisionTree,1.0,0.8666666666666667
1,RandomForest,1.0,0.9
2,AdaBoost,0.9927536231884058,0.8666666666666667
3,ExtraTree,1.0,0.8833333333333333
4,GradientBoosting,1.0,0.8833333333333333
5,XGBOOST,1.0,0.9333333333333333
