Feature,Importance
protime,0.040331922
alk_phosphate,0.03732361
sgot,0.047337383
age,0.039750244
bilirubin,0.041921005
fatigue,0.0
spiders,0.10512713
malaise,0.10311681
ascites,0.5104688
spleen_palpable,0.07462312
