Feature,Importance
protime,0.09114690011423285
alk_phosphate,0.08771841457465737
sgot,0.09253120959980767
age,0.09272350407694184
bilirubin,0.09552164980085143
fatigue,0.03266602600853424
spiders,0.11626149410323224
malaise,0.12232814760246638
ascites,0.18821612144721683
spleen_palpable,0.0808865326720592
