loss,accuracy,val_loss,val_accuracy,epochs
0.7355045080184937,0.4855072498321533,0.6275528073310852,0.6666666865348816,0
0.6189957857131958,0.6449275612831116,0.6009544134140015,0.6499999761581421,1
0.6049984097480774,0.695652186870575,0.5870687961578369,0.6833333373069763,2
0.5665623545646667,0.7681159377098083,0.5649762749671936,0.7166666388511658,3
0.5878680348396301,0.7318840622901917,0.5575478672981262,0.7333333492279053,4
0.5721850991249084,0.7246376872062683,0.5467591881752014,0.7166666388511658,5
0.5590610504150391,0.7536231875419617,0.5378594994544983,0.7166666388511658,6
0.5342531204223633,0.739130437374115,0.5280722379684448,0.699999988079071,7
0.5353571772575378,0.7536231875419617,0.5159902572631836,0.7333333492279053,8
0.5387465953826904,0.7753623127937317,0.516065239906311,0.7333333492279053,9
0.5244983434677124,0.7753623127937317,0.5009170174598694,0.7333333492279053,10
0.50350022315979,0.760869562625885,0.5017033219337463,0.7333333492279053,11
0.5200649499893188,0.7753623127937317,0.4821172058582306,0.7333333492279053,12
0.4954322576522827,0.782608687877655,0.48945191502571106,0.7333333492279053,13
0.4938414692878723,0.7753623127937317,0.48525211215019226,0.75,14
0.4984382390975952,0.7753623127937317,0.4678744077682495,0.7333333492279053,15
0.4974025785923004,0.782608687877655,0.47062283754348755,0.75,16
0.4777913987636566,0.782608687877655,0.4649324417114258,0.75,17
0.45345455408096313,0.804347813129425,0.4509305953979492,0.75,18
0.4616553783416748,0.7971014380455017,0.4432503283023834,0.75,19
0.45458823442459106,0.782608687877655,0.4435628354549408,0.75,20
0.4383504092693329,0.8115941882133484,0.43605753779411316,0.75,21
0.4431343972682953,0.7753623127937317,0.42499855160713196,0.75,22
0.44995060563087463,0.8115941882133484,0.43161284923553467,0.7333333492279053,23
0.42643317580223083,0.7898550629615784,0.41542115807533264,0.7833333611488342,24
0.44224655628204346,0.7753623127937317,0.40681514143943787,0.7833333611488342,25
0.42958584427833557,0.7898550629615784,0.4251215159893036,0.7166666388511658,26
0.4077029824256897,0.8115941882133484,0.40189048647880554,0.8166666626930237,27
0.40688303112983704,0.8333333134651184,0.3970559239387512,0.8166666626930237,28
0.4353245794773102,0.7971014380455017,0.4123394787311554,0.7333333492279053,29
0.42232343554496765,0.804347813129425,0.3785162568092346,0.8333333134651184,30
0.3917672038078308,0.8188405632972717,0.38975974917411804,0.7833333611488342,31
0.4089954197406769,0.7971014380455017,0.3914724290370941,0.7666666507720947,32
0.3934946060180664,0.804347813129425,0.3677738308906555,0.8500000238418579,33
0.39120134711265564,0.782608687877655,0.39788857102394104,0.75,34
0.3931058943271637,0.7971014380455017,0.3619905412197113,0.8500000238418579,35
0.3918011486530304,0.7898550629615784,0.3966059982776642,0.75,36
0.3726232349872589,0.8188405632972717,0.36261188983917236,0.8333333134651184,37
0.3661639988422394,0.8260869383811951,0.36187103390693665,0.8333333134651184,38
0.35101714730262756,0.8550724387168884,0.3679669499397278,0.8166666626930237,39
0.3434804379940033,0.8260869383811951,0.3616090714931488,0.8166666626930237,40
0.35777297616004944,0.8550724387168884,0.3410849869251251,0.8666666746139526,41
0.33926236629486084,0.8333333134651184,0.3356380760669708,0.8666666746139526,42
0.3552931547164917,0.8478260636329651,0.34843191504478455,0.8333333134651184,43
0.36034443974494934,0.8623188138008118,0.33363667130470276,0.8666666746139526,44
